devolucaoId,protocolo,mesRef,dataAbertura,dataFechamento,motivoId,unidadeId,canalEntrada,criticidade,slaDias,tempoCorrecaoDias,slaEstourado,status
50,DV-100050,2025-01,2025-01-04,2025-01-08,33,4,Portal SILIC,Alta,5,4,0,Concluído
51,DV-100051,2025-01,2025-01-13,2025-01-18,34,2,Portal SILIC,Alta,5,5,0,Concluído
52,DV-100052,2025-01,2025-01-06,2025-01-11,35,6,E-mail,Alta,5,5,0,Concluído
53,DV-100053,2025-01,2025-01-16,2025-01-19,36,11,Esteira Interna,Alta,5,3,0,Concluído
54,DV-100054,2025-01,2025-01-02,2025-01-05,37,3,Portal SILIC,Alta,5,3,0,Concluído
55,DV-100055,2025-01,2025-01-24,2025-01-28,37,1,Portal SILIC,Alta,5,4,0,Concluído
56,DV-100056,2025-01,2025-01-15,2025-01-22,38,14,Portal SILIC,Alta,5,7,1,Concluído
57,DV-100057,2025-01,2025-01-11,2025-01-18,38,14,Portal SILIC,Alta,5,7,1,Concluído
58,DV-100058,2025-01,2025-01-06,2025-01-13,39,13,Esteira Interna,Alta,5,7,1,Concluído
59,DV-100059,2025-01,2025-01-03,2025-01-10,40,14,E-mail,Alta,5,7,1,Concluído
60,DV-100060,2025-01,2025-01-11,2025-01-16,41,13,E-mail,Alta,5,5,0,Concluído
61,DV-100061,2025-01,2025-01-04,2025-01-11,41,10,Portal SILIC,Alta,5,7,1,Concluído
62,DV-100062,2025-01,2025-01-16,2025-01-21,42,15,E-mail,Alta,5,5,0,Concluído
63,DV-100063,2025-01,2025-01-17,2025-01-23,42,3,Portal SILIC,Alta,5,6,1,Concluído
64,DV-100064,2025-01,2025-01-18,2025-01-22,43,9,Portal SILIC,Alta,5,4,0,Concluído
65,DV-100065,2025-01,2025-01-10,2025-01-16,43,7,Esteira Interna,Alta,5,6,1,Concluído
66,DV-100066,2025-01,2025-01-17,2025-01-25,44,14,Esteira Interna,Alta,5,8,1,Concluído
67,DV-100067,2025-01,2025-01-12,2025-01-18,44,13,Portal SILIC,Alta,5,6,1,Concluído
68,DV-100068,2025-01,2025-01-05,2025-01-12,45,4,Esteira Interna,Alta,5,7,1,Concluído
69,DV-100069,2025-01,2025-01-21,2025-01-28,45,9,Portal SILIC,Alta,5,7,1,Concluído
70,DV-100070,2025-01,2025-01-19,2025-01-24,46,7,E-mail,Alta,5,5,0,Concluído
71,DV-100071,2025-01,2025-01-08,2025-01-14,46,6,Portal SILIC,Alta,5,6,1,Concluído
72,DV-100072,2025-01,2025-01-05,2025-01-10,47,5,Portal SILIC,Alta,5,5,0,Concluído
73,DV-100073,2025-01,2025-01-19,2025-01-24,47,8,Portal SILIC,Alta,5,5,0,Concluído
74,DV-100074,2025-01,2025-01-18,2025-01-25,47,9,Portal SILIC,Alta,5,7,1,Concluído
75,DV-100075,2025-01,2025-01-12,2025-01-17,48,10,Esteira Interna,Alta,5,5,0,Concluído
76,DV-100076,2025-01,2025-01-22,2025-01-29,48,1,Portal SILIC,Alta,5,7,1,Concluído
77,DV-100077,2025-01,2025-01-15,2025-01-22,49,2,Portal SILIC,Alta,5,7,1,Concluído
78,DV-100078,2025-01,2025-01-10,2025-01-16,49,17,E-mail,Alta,5,6,1,Concluído
79,DV-100079,2025-01,2025-01-25,2025-02-01,50,16,Portal SILIC,Alta,5,7,1,Concluído
80,DV-100080,2025-01,2025-01-19,2025-01-25,50,15,E-mail,Alta,5,6,1,Concluído
81,DV-100081,2025-01,2025-01-02,2025-01-09,51,18,Portal SILIC,Alta,5,7,1,Concluído
82,DV-100082,2025-01,2025-01-19,2025-01-26,51,3,E-mail,Alta,5,7,1,Concluído
83,DV-100083,2025-01,2025-01-05,2025-01-10,51,18,E-mail,Alta,5,5,0,Concluído
84,DV-100084,2025-01,2025-01-03,2025-01-09,52,7,Portal SILIC,Alta,5,6,1,Concluído
85,DV-100085,2025-01,2025-01-10,2025-01-16,52,13,Portal SILIC,Alta,5,6,1,Concluído
86,DV-100086,2025-01,2025-01-08,2025-01-14,52,11,Portal SILIC,Alta,5,6,1,Concluído
87,DV-100087,2025-01,2025-01-13,2025-01-20,53,1,Portal SILIC,Alta,5,7,1,Concluído
88,DV-100088,2025-01,2025-01-23,2025-01-28,53,4,Portal SILIC,Alta,5,5,0,Concluído
89,DV-100089,2025-01,2025-01-20,2025-01-28,54,15,Portal SILIC,Alta,5,8,1,Concluído
90,DV-100090,2025-01,2025-01-07,2025-01-14,54,12,E-mail,Alta,5,7,1,Concluído
91,DV-100091,2025-01,2025-01-09,2025-01-17,55,10,Portal SILIC,Alta,5,8,1,Concluído
92,DV-100092,2025-01,2025-01-16,2025-01-21,56,11,Portal SILIC,Alta,5,5,0,Concluído
93,DV-100093,2025-01,2025-01-18,2025-01-23,56,4,Portal SILIC,Alta,5,5,0,Concluído
94,DV-100094,2025-01,2025-01-27,2025-02-03,57,8,Esteira Interna,Alta,5,7,1,Concluído
95,DV-100095,2025-01,2025-01-21,2025-01-28,58,12,Esteira Interna,Alta,5,7,1,Concluído
96,DV-100096,2025-01,2025-01-10,2025-01-16,58,9,Portal SILIC,Alta,5,6,1,Concluído
97,DV-100097,2025-01,2025-01-18,2025-01-24,59,7,Portal SILIC,Alta,5,6,1,Concluído
98,DV-100098,2025-01,2025-01-25,2025-02-02,59,12,Esteira Interna,Alta,5,8,1,Concluído
99,DV-100099,2025-01,2025-01-07,2025-01-12,60,2,E-mail,Alta,5,5,0,Concluído
100,DV-100100,2025-01,2025-01-16,2025-01-23,60,6,Portal SILIC,Alta,5,7,1,Concluído
101,DV-100101,2025-01,2025-01-17,2025-01-22,60,15,Portal SILIC,Alta,5,5,0,Concluído
102,DV-100102,2025-01,2025-01-17,2025-01-25,61,15,Portal SILIC,Alta,5,8,1,Concluído
103,DV-100103,2025-01,2025-01-19,2025-01-24,61,6,Esteira Interna,Alta,5,5,0,Concluído
104,DV-100104,2025-01,2025-01-05,2025-01-12,61,4,Portal SILIC,Alta,5,7,1,Concluído
105,DV-100105,2025-01,2025-01-05,2025-01-09,62,17,Esteira Interna,Média,6,4,0,Concluído
106,DV-100106,2025-01,2025-01-09,2025-01-15,63,1,Portal SILIC,Média,6,6,0,Concluído
107,DV-100107,2025-01,2025-01-05,2025-01-09,63,13,Portal SILIC,Média,6,4,0,Concluído
108,DV-100108,2025-01,2025-01-12,2025-01-16,64,15,Esteira Interna,Média,6,4,0,Concluído
109,DV-100109,2025-01,2025-01-22,2025-01-27,64,15,Portal SILIC,Média,6,5,0,Concluído
110,DV-100110,2025-01,2025-01-22,2025-01-27,65,9,Portal SILIC,Média,6,5,0,Concluído
111,DV-100111,2025-01,2025-01-20,2025-01-25,65,1,Portal SILIC,Média,6,5,0,Concluído
112,DV-100112,2025-01,2025-01-19,2025-01-25,66,16,Portal SILIC,Média,6,6,0,Concluído
113,DV-100113,2025-01,2025-01-22,2025-01-27,66,13,E-mail,Média,6,5,0,Concluído
114,DV-100114,2025-01,2025-01-15,2025-01-19,67,6,Portal SILIC,Média,6,4,0,Concluído
115,DV-100115,2025-01,2025-01-11,2025-01-15,67,2,E-mail,Média,6,4,0,Concluído
116,DV-100116,2025-01,2025-01-26,2025-01-31,68,9,E-mail,Média,6,5,0,Concluído
117,DV-100117,2025-01,2025-01-18,2025-01-23,69,9,E-mail,Média,6,5,0,Concluído
118,DV-100118,2025-01,2025-01-18,2025-01-25,69,16,Esteira Interna,Média,6,7,1,Concluído
119,DV-100119,2025-01,2025-01-11,2025-01-17,70,7,Portal SILIC,Média,6,6,0,Concluído
120,DV-100120,2025-01,2025-01-07,2025-01-13,70,18,E-mail,Média,6,6,0,Concluído
121,DV-100121,2025-01,2025-01-25,2025-02-01,71,12,Esteira Interna,Média,6,7,1,Concluído
122,DV-100122,2025-01,2025-01-24,2025-01-29,72,6,E-mail,Média,6,5,0,Concluído
123,DV-100123,2025-01,2025-01-15,2025-01-19,72,10,Portal SILIC,Média,6,4,0,Concluído
124,DV-100124,2025-01,2025-01-04,2025-01-11,73,8,E-mail,Média,6,7,1,Concluído
125,DV-100125,2025-01,2025-01-25,2025-01-31,74,5,Portal SILIC,Média,6,6,0,Concluído
126,DV-100126,2025-01,2025-01-23,2025-01-29,74,2,Portal SILIC,Média,6,6,0,Concluído
127,DV-100127,2025-01,2025-01-21,2025-01-28,75,2,Portal SILIC,Média,6,7,1,Concluído
128,DV-100128,2025-01,2025-01-01,2025-01-08,76,8,Portal SILIC,Média,6,7,1,Concluído
129,DV-100129,2025-01,2025-01-24,2025-01-30,77,14,Portal SILIC,Média,6,6,0,Concluído
130,DV-100130,2025-01,2025-01-03,2025-01-09,77,13,Portal SILIC,Média,6,6,0,Concluído
131,DV-100131,2025-01,2025-01-15,2025-01-19,78,3,Portal SILIC,Média,6,4,0,Concluído
132,DV-100132,2025-01,2025-01-20,2025-01-27,79,10,Portal SILIC,Média,6,7,1,Concluído
133,DV-100133,2025-01,2025-01-06,2025-01-13,80,11,Portal SILIC,Média,6,7,1,Concluído
134,DV-100134,2025-01,2025-01-16,2025-01-23,80,8,Portal SILIC,Média,6,7,1,Concluído
135,DV-100135,2025-01,2025-01-27,2025-02-01,81,6,Portal SILIC,Média,6,5,0,Concluído
136,DV-100136,2025-01,2025-01-10,2025-01-13,82,4,E-mail,Alta,5,3,0,Concluído
137,DV-100137,2025-01,2025-01-14,2025-01-18,82,13,Portal SILIC,Alta,5,4,0,Concluído
138,DV-100138,2025-01,2025-01-16,2025-01-20,83,14,E-mail,Alta,5,4,0,Concluído
139,DV-100139,2025-01,2025-01-21,2025-01-25,83,12,E-mail,Alta,5,4,0,Concluído
140,DV-100140,2025-01,2025-01-01,2025-01-06,84,17,E-mail,Alta,5,5,0,Concluído
141,DV-100141,2025-01,2025-01-15,2025-01-18,84,16,Portal SILIC,Alta,5,3,0,Concluído
142,DV-100142,2025-01,2025-01-03,2025-01-09,85,13,Esteira Interna,Alta,5,6,1,Concluído
143,DV-100143,2025-01,2025-01-27,2025-01-30,86,12,Portal SILIC,Alta,5,3,0,Concluído
144,DV-100144,2025-01,2025-01-24,2025-01-31,87,11,Esteira Interna,Alta,5,7,1,Concluído
145,DV-100145,2025-01,2025-01-19,2025-01-24,87,15,Esteira Interna,Alta,5,5,0,Concluído
146,DV-100146,2025-01,2025-01-18,2025-01-23,87,10,E-mail,Alta,5,5,0,Concluído
147,DV-100147,2025-01,2025-01-13,2025-01-18,88,12,E-mail,Alta,5,5,0,Concluído
148,DV-100148,2025-01,2025-01-20,2025-01-28,89,4,Esteira Interna,Alta,5,8,1,Concluído
149,DV-100149,2025-01,2025-01-20,2025-01-27,89,6,Portal SILIC,Alta,5,7,1,Concluído
150,DV-100150,2025-01,2025-01-23,2025-01-30,90,18,Esteira Interna,Alta,5,7,1,Concluído
151,DV-100151,2025-01,2025-01-21,2025-01-28,90,4,E-mail,Alta,5,7,1,Concluído
152,DV-100152,2025-01,2025-01-11,2025-01-16,91,9,Portal SILIC,Alta,5,5,0,Concluído
153,DV-100153,2025-01,2025-01-27,2025-02-03,92,2,Portal SILIC,Alta,5,7,1,Concluído
154,DV-100154,2025-01,2025-01-04,2025-01-09,92,8,E-mail,Alta,5,5,0,Concluído
155,DV-100155,2025-01,2025-01-23,2025-01-29,93,16,E-mail,Alta,5,6,1,Concluído
156,DV-100156,2025-01,2025-01-03,2025-01-09,93,11,Portal SILIC,Alta,5,6,1,Concluído
157,DV-100157,2025-01,2025-01-25,2025-02-01,94,5,Portal SILIC,Alta,5,7,1,Concluído
158,DV-100158,2025-01,2025-01-21,2025-01-25,94,9,E-mail,Alta,5,4,0,Concluído
159,DV-100159,2025-01,2025-01-23,2025-01-28,95,15,E-mail,Alta,5,5,0,Concluído
160,DV-100160,2025-01,2025-01-02,2025-01-09,95,16,Esteira Interna,Alta,5,7,1,Concluído
161,DV-100161,2025-01,2025-01-18,2025-01-25,96,5,E-mail,Alta,5,7,1,Concluído
162,DV-100162,2025-01,2025-01-05,2025-01-12,96,1,Portal SILIC,Alta,5,7,1,Concluído
163,DV-100163,2025-01,2025-01-15,2025-01-20,97,18,Portal SILIC,Alta,5,5,0,Concluído
164,DV-100164,2025-01,2025-01-24,2025-01-31,98,5,Portal SILIC,Alta,5,7,1,Concluído
165,DV-100165,2025-01,2025-01-14,2025-01-19,98,3,Esteira Interna,Alta,5,5,0,Concluído
166,DV-100166,2025-01,2025-01-26,2025-02-03,99,1,Portal SILIC,Alta,5,8,1,Concluído
167,DV-100167,2025-01,2025-01-04,2025-01-12,100,11,Portal SILIC,Alta,5,8,1,Concluído
168,DV-100168,2025-01,2025-01-08,2025-01-14,100,14,E-mail,Alta,5,6,1,Concluído
169,DV-100169,2025-01,2025-01-04,2025-01-11,100,17,Esteira Interna,Alta,5,7,1,Concluído
170,DV-100170,2025-01,2025-01-21,2025-01-27,101,6,E-mail,Alta,5,6,1,Concluído
171,DV-100171,2025-01,2025-01-03,2025-01-11,102,15,E-mail,Alta,5,8,1,Concluído
172,DV-100172,2025-01,2025-01-22,2025-01-28,102,10,Portal SILIC,Alta,5,6,1,Concluído
173,DV-100173,2025-01,2025-01-06,2025-01-14,103,11,Portal SILIC,Alta,5,8,1,Concluído
174,DV-100174,2025-01,2025-01-03,2025-01-09,103,17,E-mail,Alta,5,6,1,Concluído
175,DV-100175,2025-01,2025-01-06,2025-01-12,104,1,Portal SILIC,Alta,5,6,1,Concluído
176,DV-100176,2025-01,2025-01-11,2025-01-17,104,4,Portal SILIC,Alta,5,6,1,Concluído
177,DV-100177,2025-01,2025-01-19,2025-01-27,105,10,Esteira Interna,Alta,5,8,1,Concluído
178,DV-100178,2025-01,2025-01-25,2025-01-31,105,9,E-mail,Alta,5,6,1,Concluído
179,DV-100179,2025-01,2025-01-15,2025-01-21,105,12,Portal SILIC,Alta,5,6,1,Concluído
180,DV-100180,2025-01,2025-01-01,2025-01-07,106,5,E-mail,Alta,5,6,1,Concluído
181,DV-100181,2025-01,2025-01-22,2025-01-29,106,14,Portal SILIC,Alta,5,7,1,Concluído
182,DV-100182,2025-01,2025-01-02,2025-01-10,107,4,E-mail,Alta,5,8,1,Concluído
183,DV-100183,2025-01,2025-01-02,2025-01-06,107,9,E-mail,Alta,5,4,0,Concluído
184,DV-100184,2025-01,2025-01-11,2025-01-17,108,12,Esteira Interna,Alta,5,6,1,Concluído
185,DV-100185,2025-01,2025-01-21,2025-01-26,109,15,Portal SILIC,Alta,5,5,0,Concluído
186,DV-100186,2025-01,2025-01-25,2025-01-30,109,8,Portal SILIC,Alta,5,5,0,Concluído
187,DV-100187,2025-01,2025-01-08,2025-01-15,110,5,Esteira Interna,Alta,5,7,1,Concluído
188,DV-100188,2025-01,2025-01-04,2025-01-09,110,7,Portal SILIC,Alta,5,5,0,Concluído
189,DV-100189,2025-01,2025-01-08,2025-01-16,110,2,Portal SILIC,Alta,5,8,1,Concluído
190,DV-100190,2025-01,2025-01-23,2025-01-29,111,16,Portal SILIC,Alta,5,6,1,Concluído
191,DV-100191,2025-01,2025-01-23,2025-01-30,111,12,Esteira Interna,Alta,5,7,1,Concluído
192,DV-100192,2025-01,2025-01-21,2025-01-28,112,13,Portal SILIC,Média,6,7,1,Concluído
193,DV-100193,2025-01,2025-01-27,2025-01-31,113,14,Portal SILIC,Média,6,4,0,Concluído
194,DV-100194,2025-01,2025-01-24,2025-01-31,114,8,Esteira Interna,Média,6,7,1,Concluído
195,DV-100195,2025-01,2025-01-08,2025-01-12,115,13,Portal SILIC,Média,6,4,0,Concluído
196,DV-100196,2025-01,2025-01-11,2025-01-17,115,4,Portal SILIC,Média,6,6,0,Concluído
197,DV-100197,2025-01,2025-01-08,2025-01-12,116,13,Esteira Interna,Média,6,4,0,Concluído
198,DV-100198,2025-01,2025-01-27,2025-02-02,117,10,E-mail,Média,6,6,0,Concluído
199,DV-100199,2025-01,2025-01-26,2025-01-30,118,8,Portal SILIC,Média,6,4,0,Concluído
200,DV-100200,2025-01,2025-01-05,2025-01-10,119,10,Esteira Interna,Média,6,5,0,Concluído
201,DV-100201,2025-01,2025-01-07,2025-01-12,119,3,Portal SILIC,Média,6,5,0,Concluído
202,DV-100202,2025-01,2025-01-15,2025-01-21,120,3,E-mail,Média,6,6,0,Concluído
203,DV-100203,2025-01,2025-01-19,2025-01-25,121,5,Portal SILIC,Média,6,6,0,Concluído
204,DV-100204,2025-01,2025-01-09,2025-01-14,121,15,Esteira Interna,Média,6,5,0,Concluído
205,DV-100205,2025-01,2025-01-21,2025-01-26,122,4,Esteira Interna,Média,6,5,0,Concluído
206,DV-100206,2025-01,2025-01-06,2025-01-13,123,7,Portal SILIC,Média,6,7,1,Concluído
207,DV-100207,2025-01,2025-01-06,2025-01-12,123,10,Portal SILIC,Média,6,6,0,Concluído
208,DV-100208,2025-01,2025-01-10,2025-01-14,124,1,Portal SILIC,Alta,5,4,0,Concluído
209,DV-100209,2025-01,2025-01-13,2025-01-18,125,15,E-mail,Alta,5,5,0,Concluído
210,DV-100210,2025-01,2025-01-11,2025-01-15,126,5,E-mail,Alta,5,4,0,Concluído
211,DV-100211,2025-01,2025-01-06,2025-01-11,127,10,Portal SILIC,Alta,5,5,0,Concluído
212,DV-100212,2025-01,2025-01-12,2025-01-18,128,3,Portal SILIC,Alta,5,6,1,Concluído
213,DV-100213,2025-01,2025-01-03,2025-01-08,128,9,Portal SILIC,Alta,5,5,0,Concluído
214,DV-100214,2025-01,2025-01-04,2025-01-10,129,7,E-mail,Alta,5,6,1,Concluído
215,DV-100215,2025-01,2025-01-20,2025-01-27,129,3,Esteira Interna,Alta,5,7,1,Concluído
216,DV-100216,2025-01,2025-01-05,2025-01-10,130,15,Portal SILIC,Alta,5,5,0,Concluído
217,DV-100217,2025-01,2025-01-26,2025-02-02,130,7,Portal SILIC,Alta,5,7,1,Concluído
218,DV-100218,2025-01,2025-01-21,2025-01-26,131,4,E-mail,Alta,5,5,0,Concluído
219,DV-100219,2025-01,2025-01-01,2025-01-07,131,17,E-mail,Alta,5,6,1,Concluído
220,DV-100220,2025-01,2025-01-18,2025-01-23,131,7,E-mail,Alta,5,5,0,Concluído
221,DV-100221,2025-01,2025-01-02,2025-01-07,132,16,E-mail,Alta,5,5,0,Concluído
222,DV-100222,2025-01,2025-01-20,2025-01-25,133,10,Portal SILIC,Alta,5,5,0,Concluído
223,DV-100223,2025-01,2025-01-01,2025-01-09,133,14,Portal SILIC,Alta,5,8,1,Concluído
224,DV-100224,2025-01,2025-01-18,2025-01-23,134,11,Esteira Interna,Alta,5,5,0,Concluído
225,DV-100225,2025-01,2025-01-04,2025-01-11,134,11,Portal SILIC,Alta,5,7,1,Concluído
226,DV-100226,2025-01,2025-01-02,2025-01-06,135,3,Portal SILIC,Alta,5,4,0,Concluído
227,DV-100227,2025-01,2025-01-21,2025-01-28,135,13,Portal SILIC,Alta,5,7,1,Concluído
228,DV-100228,2025-01,2025-01-08,2025-01-15,136,8,Portal SILIC,Alta,5,7,1,Concluído
229,DV-100229,2025-01,2025-01-08,2025-01-16,136,2,Portal SILIC,Alta,5,8,1,Concluído
230,DV-100230,2025-01,2025-01-21,2025-01-27,136,2,Portal SILIC,Alta,5,6,1,Concluído
231,DV-100231,2025-01,2025-01-26,2025-01-30,137,10,E-mail,Alta,5,4,0,Concluído
232,DV-100232,2025-01,2025-01-10,2025-01-14,137,13,Esteira Interna,Alta,5,4,0,Concluído
233,DV-100233,2025-01,2025-01-03,2025-01-10,137,1,Portal SILIC,Alta,5,7,1,Concluído
234,DV-100234,2025-01,2025-01-13,2025-01-21,138,15,Portal SILIC,Alta,5,8,1,Concluído
235,DV-100235,2025-01,2025-01-18,2025-01-25,138,12,Portal SILIC,Alta,5,7,1,Concluído
236,DV-100236,2025-01,2025-01-11,2025-01-17,138,12,Portal SILIC,Alta,5,6,1,Concluído
237,DV-100237,2025-01,2025-01-10,2025-01-18,139,12,E-mail,Alta,5,8,1,Concluído
238,DV-100238,2025-01,2025-01-22,2025-01-29,139,4,E-mail,Alta,5,7,1,Concluído
239,DV-100239,2025-01,2025-01-19,2025-01-24,139,4,Portal SILIC,Alta,5,5,0,Concluído
240,DV-100240,2025-01,2025-01-17,2025-01-24,140,4,E-mail,Alta,5,7,1,Concluído
241,DV-100241,2025-01,2025-01-06,2025-01-14,140,4,Portal SILIC,Alta,5,8,1,Concluído
242,DV-100242,2025-01,2025-01-18,2025-01-24,141,3,Portal SILIC,Alta,5,6,1,Concluído
243,DV-100243,2025-01,2025-01-27,2025-02-02,142,10,E-mail,Alta,5,6,1,Concluído
244,DV-100244,2025-01,2025-01-26,2025-02-02,142,10,E-mail,Alta,5,7,1,Concluído
245,DV-100245,2025-01,2025-01-27,2025-02-02,142,6,Portal SILIC,Alta,5,6,1,Concluído
246,DV-100246,2025-01,2025-01-26,2025-02-03,143,17,Esteira Interna,Alta,5,8,1,Concluído
247,DV-100247,2025-01,2025-01-13,2025-01-18,143,18,E-mail,Alta,5,5,0,Concluído
248,DV-100248,2025-01,2025-01-24,2025-02-01,143,10,Esteira Interna,Alta,5,8,1,Concluído
249,DV-100249,2025-01,2025-01-14,2025-01-19,144,11,E-mail,Alta,5,5,0,Concluído
250,DV-100250,2025-01,2025-01-07,2025-01-11,145,5,Portal SILIC,Média,6,4,0,Concluído
251,DV-100251,2025-01,2025-01-15,2025-01-20,145,2,Portal SILIC,Média,6,5,0,Concluído
252,DV-100252,2025-01,2025-01-06,2025-01-10,146,5,Portal SILIC,Média,6,4,0,Concluído
253,DV-100253,2025-01,2025-01-08,2025-01-13,146,6,Portal SILIC,Média,6,5,0,Concluído
254,DV-100254,2025-01,2025-01-02,2025-01-09,147,17,Portal SILIC,Média,6,7,1,Concluído
255,DV-100255,2025-01,2025-01-10,2025-01-15,148,4,E-mail,Média,6,5,0,Concluído
256,DV-100256,2025-01,2025-01-09,2025-01-16,148,9,Esteira Interna,Média,6,7,1,Concluído
257,DV-100257,2025-01,2025-01-10,2025-01-16,149,2,Portal SILIC,Média,6,6,0,Concluído
258,DV-100258,2025-01,2025-01-04,2025-01-11,149,14,Esteira Interna,Média,6,7,1,Concluído
259,DV-100259,2025-01,2025-01-13,2025-01-17,150,14,Portal SILIC,Média,6,4,0,Concluído
260,DV-100260,2025-01,2025-01-02,2025-01-06,150,9,Portal SILIC,Média,6,4,0,Concluído
261,DV-100261,2025-01,2025-01-06,2025-01-12,151,9,Portal SILIC,Média,6,6,0,Concluído
