motivoId,ativo,processo,tipo,situacao,categoria,descricao,detalhes,stepSilic
40,1,contratação,cessão,mudança de endereço,Processual,Informações conflitantes,Erro na descrição do objeto da demanda,Definir
41,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,"Falta grau de criticidade / informação do Grau de Sigilo, segurança e tratamento de dados",Definir
42,1,contratação,cessão,mudança de endereço,processual,Informações ausentes,Falta informação da aderência ao plano estratégico,Definir
43,1,contratação,cessão,mudança de endereço,Processual,Informações divergentes,Divergência nas informações do imóvel nos documentos da demanda (RTA/OBJETO),Definir
44,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Falta informação de partes relacionadas,Definir
45,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Ausência de informação acerca de contratação em ano eleitoral para cessão sem ônus,Definir
46,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Ausência das razões da escolha do fornecedor,Definir
47,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Ausência da informação gerais do contrato (carência de pagamento / contato do cedente / vigência da contratação / Valor da contratação / Prazo de obras),Definir
48,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Ausência da justificativa da contratação,Definir
49,1,contratação,cessão,mudança de endereço,Processual,Informações conflitantes,Multa pela rescisão do contrato fora dos parâmetros normativos - cláusula em desacordo sem justificativa,Definir
50,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Ausência de informações das cláusulas mitigadoras dos riscos,Definir
51,1,contratação,cessão,mudança de endereço,Processual,Informações conflitantes,Prazo inferior a 12 meses,Definir
52,1,contratação,cessão,mudança de endereço,Processual,Documentos de autorização,Ausência de CE GEFIC (erro na CI/falta assinatura),Definir
53,1,contratação,cessão,mudança de endereço,Processual,Documentos de autorização,Ausência de CE GELOG (erro na CI/falta assinatura/dados divergentes),Definir
54,1,contratação,cessão,mudança de endereço,Processual,Documentos de autorização,Ausência de autorização/aprovação da SR/SEV,Definir
55,1,contratação,cessão,mudança de endereço,Processual,Documentos técnicos,Ausência de RTA (dados divergentes/sem informações),Definir
56,1,contratação,cessão,mudança de endereço,Processual,Documentos técnicos,Ausência de Parecer Técnico CAIXA,Definir
57,1,contratação,cessão,mudança de endereço,Processual,Documentos ausentes,Ausência das informações de negociação com o cedente,Definir
58,1,contratação,cessão,mudança de endereço,Processual,Documentos ausentes,Ausência do anexo/informações de responsabilidade do locador,Definir
59,1,contratação,cessão,mudança de endereço,Processual,Documentos ausentes,Ausência de justificativa do investimento não recuperável,Definir
60,1,contratação,cessão,mudança de endereço,Processual,Documentos técnicos,Laudo de vistoria ausente (técnico),Definir
61,1,contratação,cessão,mudança de endereço,Processual,Documentos técnicos,Falta a Due DILIGENCE para contratações acima de R$ 2 milhões/ano,Definir
62,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Ausência do registro do imóvel/Certidão inteiro teor/documento que comprove posse,Definir
63,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Averbação da área não identificada no RGI,Definir
64,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Ausência de CND IPTU / documento vencido,Definir
65,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Justificar que o imóvel está livre e desembaraçado de ônus,Definir
66,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Inexistência de autorização de atividade bancária,Definir
67,1,contratação,cessão,nova unidade,Documentação,Documentos do imóvel,Sublocação sem autorização/termo,Definir
68,1,contratação,cessão,nova unidade,Documentação,Impedimentos,Ausência de certidão CND Federal / Certidão vencida,Definir
69,1,contratação,cessão,nova unidade,Documentação,Impedimentos,Ausência da certidão de regularidade - CRF / CRF Vencido,Definir
70,1,contratação,cessão,nova unidade,Documentação,Impedimentos,Fornecedor com vedação/impedimento para contratar,Definir
71,1,contratação,cessão,nova unidade,Documentação,Impedimentos,Risco de nepotismo/relacionamento vedado,Definir
72,1,contratação,cessão,nova unidade,Documentação,Impedimentos,Listas restritivas (setor público/trabalho escravo/risco de imagem),Definir
73,1,contratação,cessão,nova unidade,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
74,1,contratação,cessão,nova unidade,documentação,locador pessoa física,Ausência de identificação dos documentos identificação (RG/CPF),Definir
75,1,contratação,cessão,nova unidade,documentação,locador pessoa física,Representação legal/poderes não comprovados,Definir
76,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da certidão simplificada da junta comercial,Definir
77,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da documentação de identificação sócios (RG/CPF),Definir
78,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da última versão do Contrato Social,Definir
79,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Documentos do cedente não assinados digitalmente,Definir
80,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
81,1,contratação,cessão,nova unidade,documentação,Locador Pessoa Jurídica,Ata ou Termo de Posse do Representante Legal vigente,Definir
82,1,contratação,cessão,nova unidade,financeiro,Dados Bancários,Informação de dados bancários em outro banco sem justificativa,Definir
83,1,contratação,cessão,nova unidade,financeiro,Dados Bancários,falta informação dos dados bancários,Definir
84,1,contratação,cessão,nova unidade,financeiro,Falta ateste GEORC,Contratação acima de 3 milhões,Definir
85,1,contratação,cessão,nova unidade,financeiro,Índice de correção do contrato,não identificado o índice de correção do contrato,Definir
86,1,contratação,cessão,nova unidade,financeiro,Pré-comprometimento,a menor / não encaminhado / não dividido conforme calendário de pagamento,Definir
87,1,contratação,cessão,nova unidade,processual,À pedido,Por solicitação do gestor operacional,Definir
88,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta esclarecer a relação custo x benefício,Definir
89,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Erro na descrição do objeto da demanda,Definir
90,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),"Falta grau de criticidade / informação do Grau de Sigilo, segurança e tratamento de dados",Definir
91,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação da aderência ao plano estratégico,Definir
92,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Divergência nas informações do imóvel nos documentos da demanda (RTA/OBJETO),Definir
93,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação de partes relacionadas,Definir
94,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta a CI CILOG (não assinada / não anexada),Definir
95,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informação acerca de contratação em ano eleitoral para cessão sem ônus,Definir
96,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência das razões da escolha do fornecedor,Definir
97,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da informação gerais do contrato (carência de pagamento / contato do cedente / vigência da contratação / Valor da contratação / Prazo de obras),Definir
98,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da justificativa da contratação,Definir
99,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Multa pela rescisão do contrato fora dos parâmetros normativos - cláusula em desacordo sem justificativa,Definir
100,1,contratação,cessão,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informações das cláusulas mitigadoras dos riscos,Definir
101,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de CE GEFIC (erro na CI/falta assinatura),Definir
102,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Falta autorização para abertura de nova unidade (Resolução),Definir
103,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de CE GELOG (erro na CI/falta assinatura/dados divergentes),Definir
104,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de autorização/aprovação da SR/SEV,Definir
105,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de RTA (dados divergentes/sem informações),Definir
106,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de Parecer Técnico CAIXA,Definir
107,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência das informações de negociação com o cedente,Definir
108,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência do anexo/informações de responsabilidade do locador,Definir
109,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Ausência de justificativa do investimento não recuperável,Definir
110,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Laudo de vistoria ausente (técnico),Definir
111,1,contratação,cessão,nova unidade,processual,Documentos internos demanda,Falta a Due DILIGENCE para contratações acima de R$ 2 milhões/ano,Definir
112,1,contratação,cessão,regularização,documentação,documentos do imóvel,Sublocação sem autorização/termo,Definir
113,1,contratação,cessão,regularização,documentação,Impedimentos,Fornecedor com vedação/impedimento para contratar,Definir
114,1,contratação,cessão,regularização,documentação,Impedimentos,Risco de nepotismo/relacionamento vedado,Definir
115,1,contratação,cessão,regularização,documentação,Impedimentos,Listas restritivas (setor público/trabalho escravo/risco de imagem),Definir
116,1,contratação,cessão,regularização,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
117,1,contratação,cessão,regularização,documentação,locador pessoa física,troca de titularidade sem os documentos identificação (RG/CPF),Definir
118,1,Ato formal,cessão,Alteraçãod e Titularidade,documentação,locador pessoa física,troca de titularidade sem os documentos identificação (RG/CPF),Definir
119,1,contratação,cessão,regularização,documentação,locador pessoa física,Representação legal/poderes não comprovados,Definir
120,1,contratação,cessão,regularização,documentação,Locador Pessoa Jurídica,troca de titularidade sem a apresentação certidão simplificada da junta comercial,Definir
121,1,contratação,cessão,regularização,documentação,Locador Pessoa Jurídica,troca de titularidade sem os documentos identificação (RG/CPF),Definir
122,1,contratação,cessão,regularização,documentação,Locador Pessoa Jurídica,troca de titularidade sem apresentação da última versão do Contrato Social,Definir
123,1,contratação,cessão,regularização,documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
124,1,contratação,cessão,regularização,financeiro,Dados Bancários,Informação de dados bancários em outro banco sem justificativa,Definir
125,1,contratação,cessão,regularização,financeiro,Dados Bancários,falta informação dos dados bancários,Definir
126,1,contratação,cessão,regularização,financeiro,Falta ateste GEORC,Contratação acima de 3 milhões,Definir
127,1,contratação,cessão,regularização,financeiro,Índice de correção do contrato,não identificado o índice de correção do contrato,Definir
128,1,contratação,cessão,regularização,financeiro,Pré-comprometimento,a menor / não encaminhado / não dividido conforme calendário de pagamento,Definir
129,1,contratação,cessão,regularização,processual,À pedido,Por solicitação do gestor operacional,Definir
130,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta esclarecer a relação custo x benefício,Definir
131,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Erro na descrição do objeto da demanda,Definir
132,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),"Falta grau de criticidade / informação do Grau de Sigilo, segurança e tratamento de dados",Definir
133,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação da aderência ao plano estratégico,Definir
134,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Divergência nas informações do imóvel nos documentos da demanda,Definir
135,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação de partes relacionadas,Definir
136,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta a CI CILOG (não assinada / não anexada),Definir
137,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informação acerca de contratação em ano eleitoral para cessão sem ônus,Definir
138,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência das razões da escolha do fornecedor,Definir
139,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da informação gerais do contrato (carência de pagamento / contato do cedente / vigência da contratação / Valor da contratação / Prazo de obras),Definir
140,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da justificativa da contratação,Definir
141,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Multa pela rescisão do contrato fora dos parâmetros normativos - cláusula em desacordo sem justificativa,Definir
142,1,contratação,cessão,regularização,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informações das cláusulas mitigadoras dos riscos,Definir
143,1,contratação,cessão,regularização,processual,Documentos internos demanda,Ausência das informações de negociação com o locador,Definir
144,1,contratação,cessão,regularização,processual,Documentos internos demanda,Falta a Due DILIGENCE para contratações acima de R$ 2 milhões/ano,Definir
145,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Ausência do registro do imóvel/Certidão inteiro teor,Definir
146,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Averbação da área não identificada no RGI/falta habite-se,Definir
147,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Ausência de CND IPTU / documento vencido,Definir
148,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Justificar que o imóvel está livre e desembaraçado de ônus,Definir
149,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Inexistência de autorização de atividade bancária,Definir
150,1,contratação,comodato,mudança de endereço,documentação,documentos do imóvel,Sublocação sem autorização/termo,Definir
151,1,contratação,comodato,mudança de endereço,documentação,Impedimentos,Fornecedor com vedação/impedimento para contratar,Definir
152,1,contratação,comodato,mudança de endereço,documentação,Impedimentos,Risco de nepotismo/relacionamento vedado,Definir
153,1,contratação,comodato,mudança de endereço,documentação,Impedimentos,Listas restritivas (setor público/trabalho escravo/risco de imagem),Definir
154,1,contratação,comodato,mudança de endereço,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
155,1,contratação,comodato,mudança de endereço,documentação,locador pessoa física,Ausência de identificação dos documentos identificação (RG/CPF),Definir
156,1,contratação,comodato,mudança de endereço,documentação,locador pessoa física,Representação legal/poderes não comprovados,Definir
157,1,contratação,comodato,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da certidão simplificada da junta comercial,Definir
158,1,contratação,comodato,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da documentação de identificação sócios (RG/CPF),Definir
159,1,contratação,comodato,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da última versão do Contrato Social,Definir
160,1,contratação,comodato,mudança de endereço,documentação,Locador Pessoa Jurídica,Documentos do locador não assinados digitalmente,Definir
161,1,contratação,comodato,mudança de endereço,documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
162,1,contratação,comodato,mudança de endereço,processual,À pedido,Por solicitação do gestor operacional,Definir
163,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta esclarecer a relação custo x benefício,Definir
164,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Erro na descrição do objeto da demanda,Definir
165,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),"Falta grau de criticidade / informação do Grau de Sigilo, segurança e tratamento de dados",Definir
166,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação da aderência ao plano estratégico,Definir
167,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Divergência nas informações do imóvel nos documentos da demanda (RTA/LAUDO/OBJETO),Definir
168,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação de partes relacionadas,Definir
169,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta a CI CILOG (não assinada / não anexada),Definir
170,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência das razões da escolha do fornecedor,Definir
171,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da informação gerais do contrato (contato do comodante / vigência da contratação / Prazo de obras),Definir
172,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da justificativa da contratação,Definir
173,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Propostas recusadas não justificadas,Definir
174,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Multa pela rescisão do contrato fora dos parâmetros normativos - cláusula em desacordo sem justificativa,Definir
175,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informações das cláusulas mitigadoras dos riscos,Definir
176,1,contratação,comodato,mudança de endereço,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Contrato com prazo menor que 60 meses sem justificativa,Definir
177,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de CE GEFIC (erro na CI/falta assinatura),Definir
178,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de CE GELOG (erro na CI/falta assinatura/dados divergentes),Definir
179,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de autorização/aprovação da SR/SEV,Definir
180,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de RTA (dados divergentes/sem informações),Definir
181,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de Parecer Técnico CAIXA,Definir
182,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência das informações de negociação com o comadante,Definir
183,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência das Propostas de imóveis,Definir
184,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência do anexo/informações de responsabilidade do comodante,Definir
185,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Ausência de justificativa do investimento não recuperável,Definir
186,1,contratação,comodato,mudança de endereço,processual,Documentos internos demanda,Laudo de vistoria ausente (técnico),Definir
187,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Ausência do registro do imóvel/Certidão inteiro teor,Definir
188,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Averbação da área não identificada no RGI/falta habite-se,Definir
189,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Ausência de CND IPTU / documento vencido,Definir
190,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Justificar que o imóvel está livre e desembaraçado de ônus,Definir
191,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Inexistência de autorização de atividade bancária,Definir
192,1,contratação,comodato,nova unidade,documentação,documentos do imóvel,Sublocação sem autorização/termo,Definir
193,1,contratação,comodato,nova unidade,documentação,Impedimentos,Fornecedor com vedação/impedimento para contratar,Definir
194,1,contratação,comodato,nova unidade,documentação,Impedimentos,Risco de nepotismo/relacionamento vedado,Definir
195,1,contratação,comodato,nova unidade,documentação,Impedimentos,Listas restritivas (setor público/trabalho escravo/risco de imagem),Definir
196,1,contratação,comodato,nova unidade,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
197,1,contratação,comodato,nova unidade,documentação,locador pessoa física,Ausência de identificação dos documentos identificação (RG/CPF),Definir
198,1,contratação,comodato,nova unidade,documentação,locador pessoa física,Representação legal/poderes não comprovados,Definir
199,1,contratação,comodato,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da certidão simplificada da junta comercial,Definir
200,1,contratação,comodato,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da documentação de identificação sócios (RG/CPF),Definir
201,1,contratação,comodato,nova unidade,documentação,Locador Pessoa Jurídica,Ausência da última versão do Contrato Social,Definir
202,1,contratação,comodato,nova unidade,documentação,Locador Pessoa Jurídica,Documentos do locador não assinados digitalmente,Definir
203,1,contratação,comodato,nova unidade,documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
204,1,contratação,comodato,nova unidade,processual,À pedido,Por solicitação do gestor operacional,Definir
205,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta esclarecer a relação custo x benefício,Definir
206,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Erro na descrição do objeto da demanda,Definir
207,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),"Falta grau de criticidade / informação do Grau de Sigilo, segurança e tratamento de dados",Definir
208,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação da aderência ao plano estratégico,Definir
209,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Divergência nas informações do imóvel nos documentos da demanda (RTA/LAUDO/OBJETO),Definir
210,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta informação de partes relacionadas,Definir
211,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Falta a CI CILOG (não assinada / não anexada),Definir
212,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência das razões da escolha do fornecedor,Definir
213,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da informação gerais do contrato (contato do comodante / vigência da contratação / Prazo de obras),Definir
214,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência da justificativa da contratação,Definir
215,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Propostas recusadas não justificadas,Definir
216,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Multa pela rescisão do contrato fora dos parâmetros normativos - cláusula em desacordo sem justificativa,Definir
217,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Ausência de informações das cláusulas mitigadoras dos riscos,Definir
218,1,contratação,comodato,nova unidade,processual,CI CILOG (Processo no SICLG incompleto/desorganizado),Contrato com prazo menor que 60 meses sem justificativa,Definir
219,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência de CE GEFIC (erro na CI/falta assinatura),Definir
220,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Falta autorização para abertura de nova unidade (Resolução),Definir
221,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência de CE GELOG (erro na CI/falta assinatura/dados divergentes),Definir
222,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência de autorização/aprovação da SR/SEV,Definir
223,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência de RTA (dados divergentes/sem informações),Definir
224,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência de Parecer Técnico CAIXA,Definir
225,1,contratação,comodato,nova unidade,processual,Documentos internos demanda,Ausência das informações de negociação com o comadante,Definir
